##############
# Main walls #
##############
# Main wall side 0:
# Column 0:
H:0.0.23  ; E:12  ; A:12.3   ; M:0.0.0   
H:1.7.7   ; E:7   ; A:7.35   ; M:1.11.11 
H:1.8.29  ; E:8   ; A:8.19   ; M:1.11.12 
# Column 12:
H:1.1.25  ; E:1   ; A:1.5    ; M:1.12.0  
H:1.1.30  ; E:1   ; A:1.20   ; M:1.12.1  
H:1.1.8   ; E:1   ; A:1.36   ; M:1.12.2  
H:1.3.25  ; E:3   ; A:3.5    ; M:1.12.3  
H:1.3.30  ; E:3   ; A:3.20   ; M:1.12.4  
H:1.3.8   ; E:3   ; A:3.36   ; M:1.12.5  
H:1.5.25  ; E:5   ; A:5.5    ; M:1.12.6  
H:1.5.30  ; E:5   ; A:5.20   ; M:1.12.7  
H:1.5.8   ; E:5   ; A:5.36   ; M:1.12.8  
H:1.7.25  ; E:7   ; A:7.5    ; M:1.12.9  
H:1.7.30  ; E:7   ; A:7.20   ; M:1.12.10 
H:1.7.8   ; E:7   ; A:7.36   ; M:1.12.11 
H:1.8.30  ; E:8   ; A:8.20   ; M:1.12.12 
# Column 13:
H:1.1.26  ; E:1   ; A:1.6    ; M:1.13.0  
H:1.1.12  ; E:1   ; A:1.24   ; M:1.13.1  
H:1.1.9   ; E:1   ; A:1.37   ; M:1.13.2  
H:1.3.26  ; E:3   ; A:3.6    ; M:1.13.3  
H:1.3.12  ; E:3   ; A:3.24   ; M:1.13.4  
H:1.3.9   ; E:3   ; A:3.37   ; M:1.13.5  
### H:1.5.26  ; E:5   ; A:5.6    ; M:1.13.8  
H:1.5.26  ; E:5   ; A:5.37   ; M:1.13.6  
H:1.5.12  ; E:5   ; A:5.24   ; M:1.13.7  
### H:1.5.9   ; E:5   ; A:5.37   ; M:1.13.8  
H:1.5.9   ; E:5   ; A:5.6   ; M:1.13.8  
H:1.7.26  ; E:7   ; A:7.6    ; M:1.13.9  
H:1.7.12  ; E:7   ; A:7.24   ; M:1.13.10 
H:1.7.9   ; E:7   ; A:7.37   ; M:1.13.11 
H:1.8.12  ; E:8   ; A:8.24   ; M:1.13.12 
# Column 14:
H:1.1.27  ; E:1   ; A:1.7    ; M:1.14.0  
H:1.1.13  ; E:1   ; A:1.25   ; M:1.14.1  
H:1.1.10  ; E:1   ; A:1.38   ; M:1.14.2  
H:1.3.27  ; E:3   ; A:3.7    ; M:1.14.3  
H:1.3.13  ; E:3   ; A:3.25   ; M:1.14.4  
H:1.3.10  ; E:3   ; A:3.38   ; M:1.14.5  
H:1.5.27  ; E:5   ; A:5.7    ; M:1.14.6  
H:1.5.13  ; E:5   ; A:5.25   ; M:1.14.7  
H:1.5.10  ; E:5   ; A:5.38   ; M:1.14.8  
H:1.7.27  ; E:7   ; A:7.7    ; M:1.14.9  
H:1.7.13  ; E:7   ; A:7.25   ; M:1.14.10 
H:1.7.10  ; E:7   ; A:7.38   ; M:1.14.11 
H:1.8.13  ; E:8   ; A:8.25   ; M:1.14.12 
# Column 15:
H:1.1.28  ; E:1   ; A:1.8    ; M:1.15.0  
H:1.1.14  ; E:1   ; A:1.26   ; M:1.15.1  
H:1.1.11  ; E:1   ; A:1.39   ; M:1.15.2  
H:1.3.28  ; E:3   ; A:3.8    ; M:1.15.3  
H:1.3.14  ; E:3   ; A:3.26   ; M:1.15.4  
H:1.3.11  ; E:3   ; A:3.39   ; M:1.15.5  
H:1.5.28  ; E:5   ; A:5.8    ; M:1.15.6  
H:1.5.14  ; E:5   ; A:5.26   ; M:1.15.7  
H:1.5.11  ; E:5   ; A:5.39   ; M:1.15.8  
H:1.7.28  ; E:7   ; A:7.8    ; M:1.15.9  
H:1.7.14  ; E:7   ; A:7.26   ; M:1.15.10 
H:1.7.11  ; E:7   ; A:7.39   ; M:1.15.11 
H:1.8.14  ; E:8   ; A:8.26   ; M:1.15.12 
# Column 16:
H:1.1.18  ; E:1   ; A:1.14   ; M:1.16.0  
H:1.1.15  ; E:1   ; A:1.27   ; M:1.16.1  
H:1.1.0   ; E:1   ; A:1.45   ; M:1.16.2  
H:1.3.18  ; E:3   ; A:3.14   ; M:1.16.3  
H:1.3.15  ; E:3   ; A:3.27   ; M:1.16.4  
H:1.3.0   ; E:3   ; A:3.45   ; M:1.16.5  
H:1.5.18  ; E:5   ; A:5.14   ; M:1.16.6  
H:1.5.15  ; E:5   ; A:5.27   ; M:1.16.7  
H:1.5.0   ; E:5   ; A:5.45   ; M:1.16.8  
H:1.7.18  ; E:7   ; A:7.14   ; M:1.16.9  
H:1.7.15  ; E:7   ; A:7.27   ; M:1.16.10 
H:1.7.0   ; E:7   ; A:7.45   ; M:1.16.11 
H:1.8.15  ; E:8   ; A:8.27   ; M:1.16.12 
# Column 17:
H:1.1.19  ; E:1   ; A:1.15   ; M:1.17.0  
H:1.1.16  ; E:1   ; A:1.28   ; M:1.17.1  
H:1.1.1   ; E:1   ; A:1.46   ; M:1.17.2  
H:1.3.19  ; E:3   ; A:3.15   ; M:1.17.3  
H:1.3.16  ; E:3   ; A:3.28   ; M:1.17.4  
H:1.3.1   ; E:3   ; A:3.46   ; M:1.17.5  
H:1.5.19  ; E:5   ; A:5.15   ; M:1.17.6  
H:1.5.16  ; E:5   ; A:5.28   ; M:1.17.7  
H:1.5.1   ; E:5   ; A:5.46   ; M:1.17.8  
H:1.7.19  ; E:7   ; A:7.15   ; M:1.17.9  
H:1.7.16  ; E:7   ; A:7.28   ; M:1.17.10 
H:1.7.1   ; E:7   ; A:7.46   ; M:1.17.11 
H:1.8.16  ; E:8   ; A:8.28   ; M:1.17.12 
# Column 18:
H:1.1.20  ; E:1   ; A:1.16   ; M:1.18.0  
H:1.1.17  ; E:1   ; A:1.29   ; M:1.18.1  
H:1.1.2   ; E:1   ; A:1.47   ; M:1.18.2  
H:1.3.20  ; E:3   ; A:3.16   ; M:1.18.3  
H:1.3.17  ; E:3   ; A:3.29   ; M:1.18.4  
H:1.3.2   ; E:3   ; A:3.47   ; M:1.18.5  
H:1.5.20  ; E:5   ; A:5.16   ; M:1.18.6  
H:1.5.17  ; E:5   ; A:5.29   ; M:1.18.7  
H:1.5.2   ; E:5   ; A:5.47   ; M:1.18.8  
H:1.7.20  ; E:7   ; A:7.16   ; M:1.18.9  
H:1.7.17  ; E:7   ; A:7.29   ; M:1.18.10 
H:1.7.2   ; E:7   ; A:7.47   ; M:1.18.11 
H:1.8.17  ; E:8   ; A:8.29   ; M:1.18.12 
# Column 19:
H:1.1.21  ; E:1   ; A:1.17   ; M:1.19.0  
H:1.1.31  ; E:1   ; A:1.30   ; M:1.19.1  
H:1.1.3   ; E:1   ; A:1.48   ; M:1.19.2  
H:1.3.21  ; E:3   ; A:3.17   ; M:1.19.3  
H:1.3.31  ; E:3   ; A:3.30   ; M:1.19.4  
H:1.3.3   ; E:3   ; A:3.48   ; M:1.19.5  
H:1.5.21  ; E:5   ; A:5.17   ; M:1.19.6  
H:1.5.31  ; E:5   ; A:5.30   ; M:1.19.7  
H:1.5.3   ; E:5   ; A:5.48   ; M:1.19.8  
H:1.7.21  ; E:7   ; A:7.17   ; M:1.19.9  
H:1.7.31  ; E:7   ; A:7.30   ; M:1.19.10 
H:1.7.3   ; E:7   ; A:7.48   ; M:1.19.11 
H:1.8.31  ; E:8   ; A:8.30   ; M:1.19.12 
####################
# X walls #
####################
# X wall side 0:
# Wall 0:
H:0.9.23  ; E:21  ; A:21.3   ; X:0.0.0.0 
H:0.9.24  ; E:21  ; A:21.4   ; X:0.0.0.1 
H:0.9.25  ; E:21  ; A:21.5   ; X:0.0.0.2 
H:0.9.26  ; E:21  ; A:21.6   ; X:0.0.0.3 
H:0.9.27  ; E:21  ; A:21.7   ; X:0.0.0.4 
H:0.9.28  ; E:21  ; A:21.8   ; X:0.0.0.5 
H:0.9.18  ; E:21  ; A:21.14  ; X:0.0.0.6 
H:0.9.19  ; E:21  ; A:21.15  ; X:0.0.0.7 
H:0.9.20  ; E:21  ; A:21.16  ; X:0.0.0.8 
H:0.9.21  ; E:21  ; A:21.17  ; X:0.0.0.9 
H:0.9.22  ; E:21  ; A:21.18  ; X:0.0.0.10
H:0.9.29  ; E:21  ; A:21.19  ; X:0.0.0.11
H:0.9.30  ; E:21  ; A:21.20  ; X:0.0.0.12
H:0.9.12  ; E:21  ; A:21.24  ; X:0.0.0.13
H:0.9.13  ; E:21  ; A:21.25  ; X:0.0.0.14
H:0.9.14  ; E:21  ; A:21.26  ; X:0.0.0.15
H:0.9.15  ; E:21  ; A:21.27  ; X:0.0.1.0 
H:0.9.16  ; E:21  ; A:21.28  ; X:0.0.1.1 
H:0.9.17  ; E:21  ; A:21.29  ; X:0.0.1.2 
H:0.9.31  ; E:21  ; A:21.30  ; X:0.0.1.3 
H:0.9.6   ; E:21  ; A:21.34  ; X:0.0.1.4 
H:0.9.7   ; E:21  ; A:21.35  ; X:0.0.1.5 
H:0.9.8   ; E:21  ; A:21.36  ; X:0.0.1.6 
H:0.9.9   ; E:21  ; A:21.37  ; X:0.0.1.7 
H:0.9.10  ; E:21  ; A:21.38  ; X:0.0.1.8 
H:0.9.11  ; E:21  ; A:21.39  ; X:0.0.1.9 
H:0.9.0   ; E:21  ; A:21.45  ; X:0.0.1.10
H:0.9.1   ; E:21  ; A:21.46  ; X:0.0.1.11
H:0.9.2   ; E:21  ; A:21.47  ; X:0.0.1.12
H:0.9.3   ; E:21  ; A:21.48  ; X:0.0.1.13
H:0.9.4   ; E:21  ; A:21.49  ; X:0.0.1.14
H:0.9.5   ; E:21  ; A:21.50  ; X:0.0.1.15
# Wall 1:
H:0.10.23 ; E:22  ; A:22.3   ; X:0.1.0.0 
H:0.10.24 ; E:22  ; A:22.4   ; X:0.1.0.1 
H:0.10.25 ; E:22  ; A:22.5   ; X:0.1.0.2 
H:0.10.26 ; E:22  ; A:22.6   ; X:0.1.0.3 
H:0.10.27 ; E:22  ; A:22.7   ; X:0.1.0.4 
H:0.10.28 ; E:22  ; A:22.8   ; X:0.1.0.5 
H:0.10.18 ; E:22  ; A:22.14  ; X:0.1.0.6 
H:0.10.19 ; E:22  ; A:22.15  ; X:0.1.0.7 
H:0.10.20 ; E:22  ; A:22.16  ; X:0.1.0.8 
H:0.10.21 ; E:22  ; A:22.17  ; X:0.1.0.9 
H:0.10.22 ; E:22  ; A:22.18  ; X:0.1.0.10
H:0.10.29 ; E:22  ; A:22.19  ; X:0.1.0.11
H:0.10.30 ; E:22  ; A:22.20  ; X:0.1.0.12
H:0.10.12 ; E:22  ; A:22.24  ; X:0.1.0.13
H:0.10.13 ; E:22  ; A:22.25  ; X:0.1.0.14
H:0.10.14 ; E:22  ; A:22.26  ; X:0.1.0.15
H:0.10.15 ; E:22  ; A:22.27  ; X:0.1.1.0 
H:0.10.16 ; E:22  ; A:22.28  ; X:0.1.1.1 
H:0.10.17 ; E:22  ; A:22.29  ; X:0.1.1.2 
H:0.10.31 ; E:22  ; A:22.30  ; X:0.1.1.3 
H:0.10.6  ; E:22  ; A:22.34  ; X:0.1.1.4 
H:0.10.7  ; E:22  ; A:22.35  ; X:0.1.1.5 
H:0.10.8  ; E:22  ; A:22.36  ; X:0.1.1.6 
H:0.10.9  ; E:22  ; A:22.37  ; X:0.1.1.7 
H:0.10.10 ; E:22  ; A:22.38  ; X:0.1.1.8 
H:0.10.11 ; E:22  ; A:22.39  ; X:0.1.1.9 
H:0.10.0  ; E:22  ; A:22.45  ; X:0.1.1.10
H:0.10.1  ; E:22  ; A:22.46  ; X:0.1.1.11
H:0.10.2  ; E:22  ; A:22.47  ; X:0.1.1.12
H:0.10.3  ; E:22  ; A:22.48  ; X:0.1.1.13
H:0.10.4  ; E:22  ; A:22.49  ; X:0.1.1.14
H:0.10.5  ; E:22  ; A:22.50  ; X:0.1.1.15
# X wall side 1:
# Wall 0:
H:1.9.23  ; E:9   ; A:9.3    ; X:1.0.0.0 
H:1.9.24  ; E:9   ; A:9.4    ; X:1.0.0.1 
H:1.9.25  ; E:9   ; A:9.5    ; X:1.0.0.2 
H:1.9.26  ; E:9   ; A:9.6    ; X:1.0.0.3 
H:1.9.27  ; E:9   ; A:9.7    ; X:1.0.0.4 
H:1.9.28  ; E:9   ; A:9.8    ; X:1.0.0.5 
H:1.9.18  ; E:9   ; A:9.14   ; X:1.0.0.6 
H:1.9.19  ; E:9   ; A:9.15   ; X:1.0.0.7 
H:1.9.20  ; E:9   ; A:9.16   ; X:1.0.0.8 
H:1.9.21  ; E:9   ; A:9.17   ; X:1.0.0.9 
H:1.9.22  ; E:9   ; A:9.18   ; X:1.0.0.10
H:1.9.29  ; E:9   ; A:9.19   ; X:1.0.0.11
H:1.9.30  ; E:9   ; A:9.20   ; X:1.0.0.12
H:1.9.12  ; E:9   ; A:9.24   ; X:1.0.0.13
H:1.9.13  ; E:9   ; A:9.25   ; X:1.0.0.14
H:1.9.14  ; E:9   ; A:9.26   ; X:1.0.0.15
H:1.9.15  ; E:9   ; A:9.27   ; X:1.0.1.0 
H:1.9.16  ; E:9   ; A:9.28   ; X:1.0.1.1 
H:1.9.17  ; E:9   ; A:9.29   ; X:1.0.1.2 
H:1.9.31  ; E:9   ; A:9.30   ; X:1.0.1.3 
H:1.9.6   ; E:9   ; A:9.34   ; X:1.0.1.4 
H:1.9.7   ; E:9   ; A:9.35   ; X:1.0.1.5 
H:1.9.8   ; E:9   ; A:9.36   ; X:1.0.1.6 
H:1.9.9   ; E:9   ; A:9.37   ; X:1.0.1.7 
H:1.9.10  ; E:9   ; A:9.38   ; X:1.0.1.8 
H:1.9.11  ; E:9   ; A:9.39   ; X:1.0.1.9 
H:1.9.0   ; E:9   ; A:9.45   ; X:1.0.1.10
H:1.9.1   ; E:9   ; A:9.46   ; X:1.0.1.11
H:1.9.2   ; E:9   ; A:9.47   ; X:1.0.1.12
H:1.9.3   ; E:9   ; A:9.48   ; X:1.0.1.13
H:1.9.4   ; E:9   ; A:9.49   ; X:1.0.1.14
H:1.9.5   ; E:9   ; A:9.50   ; X:1.0.1.15
# Wall 1:
H:1.10.23 ; E:10  ; A:10.3   ; X:1.1.0.0 
H:1.10.24 ; E:10  ; A:10.4   ; X:1.1.0.1 
H:1.10.25 ; E:10  ; A:10.5   ; X:1.1.0.2 
H:1.10.26 ; E:10  ; A:10.6   ; X:1.1.0.3 
H:1.10.27 ; E:10  ; A:10.7   ; X:1.1.0.4 
H:1.10.28 ; E:10  ; A:10.8   ; X:1.1.0.5 
H:1.10.18 ; E:10  ; A:10.14  ; X:1.1.0.6 
H:1.10.19 ; E:10  ; A:10.15  ; X:1.1.0.7 
H:1.10.20 ; E:10  ; A:10.16  ; X:1.1.0.8 
H:1.10.21 ; E:10  ; A:10.17  ; X:1.1.0.9 
H:1.10.22 ; E:10  ; A:10.18  ; X:1.1.0.10
H:1.10.29 ; E:10  ; A:10.19  ; X:1.1.0.11
H:1.10.30 ; E:10  ; A:10.20  ; X:1.1.0.12
H:1.10.12 ; E:10  ; A:10.24  ; X:1.1.0.13
H:1.10.13 ; E:10  ; A:10.25  ; X:1.1.0.14
H:1.10.14 ; E:10  ; A:10.26  ; X:1.1.0.15
H:1.10.15 ; E:10  ; A:10.27  ; X:1.1.1.0 
H:1.10.16 ; E:10  ; A:10.28  ; X:1.1.1.1 
H:1.10.17 ; E:10  ; A:10.29  ; X:1.1.1.2 
H:1.10.31 ; E:10  ; A:10.30  ; X:1.1.1.3 
H:1.10.6  ; E:10  ; A:10.34  ; X:1.1.1.4 
H:1.10.7  ; E:10  ; A:10.35  ; X:1.1.1.5 
H:1.10.8  ; E:10  ; A:10.36  ; X:1.1.1.6 
H:1.10.9  ; E:10  ; A:10.37  ; X:1.1.1.7 
H:1.10.10 ; E:10  ; A:10.38  ; X:1.1.1.8 
H:1.10.11 ; E:10  ; A:10.39  ; X:1.1.1.9 
H:1.10.0  ; E:10  ; A:10.45  ; X:1.1.1.10
H:1.10.1  ; E:10  ; A:10.46  ; X:1.1.1.11
H:1.10.2  ; E:10  ; A:10.47  ; X:1.1.1.12
H:1.10.3  ; E:10  ; A:10.48  ; X:1.1.1.13
H:1.10.4  ; E:10  ; A:10.49  ; X:1.1.1.14
H:1.10.5  ; E:10  ; A:10.50  ; X:1.1.1.15
####################
# Gamma veto walls #
####################
# Gamma veto wall side 0:
# Wall 0:
H:0.11.23 ; E:23  ; A:23.3   ; G:0.0.0   
H:0.11.24 ; E:23  ; A:23.4   ; G:0.0.1   
H:0.11.25 ; E:23  ; A:23.5   ; G:0.0.2   
H:0.11.26 ; E:23  ; A:23.6   ; G:0.0.3   
H:0.11.27 ; E:23  ; A:23.7   ; G:0.0.4   
H:0.11.28 ; E:23  ; A:23.8   ; G:0.0.5   
H:0.11.18 ; E:23  ; A:23.14  ; G:0.0.6   
H:0.11.19 ; E:23  ; A:23.15  ; G:0.0.7   
H:0.11.20 ; E:23  ; A:23.16  ; G:0.0.8   
H:0.11.21 ; E:23  ; A:23.17  ; G:0.0.9   
H:0.11.22 ; E:23  ; A:23.18  ; G:0.0.10  
H:0.11.29 ; E:23  ; A:23.19  ; G:0.0.11  
H:0.11.30 ; E:23  ; A:23.20  ; G:0.0.12  
H:0.11.12 ; E:23  ; A:23.24  ; G:0.0.13  
H:0.11.13 ; E:23  ; A:23.25  ; G:0.0.14  
H:0.11.14 ; E:23  ; A:23.26  ; G:0.0.15  
# Wall 1:
H:0.11.15 ; E:23  ; A:23.27  ; G:0.1.0   
H:0.11.16 ; E:23  ; A:23.28  ; G:0.1.1   
H:0.11.17 ; E:23  ; A:23.29  ; G:0.1.2   
H:0.11.31 ; E:23  ; A:23.30  ; G:0.1.3   
H:0.11.6  ; E:23  ; A:23.34  ; G:0.1.4   
H:0.11.7  ; E:23  ; A:23.35  ; G:0.1.5   
H:0.11.8  ; E:23  ; A:23.36  ; G:0.1.6   
H:0.11.9  ; E:23  ; A:23.37  ; G:0.1.7   
H:0.11.10 ; E:23  ; A:23.38  ; G:0.1.8   
H:0.11.11 ; E:23  ; A:23.39  ; G:0.1.9   
H:0.11.0  ; E:23  ; A:23.45  ; G:0.1.10  
H:0.11.1  ; E:23  ; A:23.46  ; G:0.1.11  
H:0.11.2  ; E:23  ; A:23.47  ; G:0.1.12  
H:0.11.3  ; E:23  ; A:23.48  ; G:0.1.13  
H:0.11.4  ; E:23  ; A:23.49  ; G:0.1.14  
H:0.11.5  ; E:23  ; A:23.50  ; G:0.1.15  
# Gamma veto wall side 1:
# Wall 0:
H:1.11.23 ; E:11  ; A:11.3   ; G:1.0.0   
H:1.11.24 ; E:11  ; A:11.4   ; G:1.0.1   
H:1.11.25 ; E:11  ; A:11.5   ; G:1.0.2   
H:1.11.26 ; E:11  ; A:11.6   ; G:1.0.3   
H:1.11.27 ; E:11  ; A:11.7   ; G:1.0.4   
H:1.11.28 ; E:11  ; A:11.8   ; G:1.0.5   
H:1.11.18 ; E:11  ; A:11.14  ; G:1.0.6   
H:1.11.19 ; E:11  ; A:11.15  ; G:1.0.7   
H:1.11.20 ; E:11  ; A:11.16  ; G:1.0.8   
H:1.11.21 ; E:11  ; A:11.17  ; G:1.0.9   
H:1.11.22 ; E:11  ; A:11.18  ; G:1.0.10  
H:1.11.29 ; E:11  ; A:11.19  ; G:1.0.11  
H:1.11.30 ; E:11  ; A:11.20  ; G:1.0.12  
H:1.11.12 ; E:11  ; A:11.24  ; G:1.0.13  
H:1.11.13 ; E:11  ; A:11.25  ; G:1.0.14  
H:1.11.14 ; E:11  ; A:11.26  ; G:1.0.15  
# Wall 1:
H:1.11.15 ; E:11  ; A:11.27  ; G:1.1.0   
H:1.11.16 ; E:11  ; A:11.28  ; G:1.1.1   
H:1.11.17 ; E:11  ; A:11.29  ; G:1.1.2   
H:1.11.31 ; E:11  ; A:11.30  ; G:1.1.3   
H:1.11.6  ; E:11  ; A:11.34  ; G:1.1.4   
H:1.11.7  ; E:11  ; A:11.35  ; G:1.1.5   
H:1.11.8  ; E:11  ; A:11.36  ; G:1.1.6   
H:1.11.9  ; E:11  ; A:11.37  ; G:1.1.7   
H:1.11.10 ; E:11  ; A:11.38  ; G:1.1.8   
H:1.11.11 ; E:11  ; A:11.39  ; G:1.1.9   
H:1.11.0  ; E:11  ; A:11.45  ; G:1.1.10  
H:1.11.1  ; E:11  ; A:11.46  ; G:1.1.11  
H:1.11.2  ; E:11  ; A:11.47  ; G:1.1.12  
H:1.11.3  ; E:11  ; A:11.48  ; G:1.1.13  
H:1.11.4  ; E:11  ; A:11.49  ; G:1.1.14  
H:1.11.5  ; E:11  ; A:11.50  ; G:1.1.15  
